ds,y
2018-04-04,1.0
2018-04-19,2.0
2018-05-07,1.0
2018-05-09,5.0
2018-05-14,2.0
2018-06-05,1.0
2018-06-06,1.0
2018-06-11,4.0
2018-07-03,1.0
2018-07-10,1.0
2018-07-18,3.0
2018-08-09,3.0
2018-08-15,1.5
2018-08-19,5.0
2018-09-09,6.5
2018-09-27,1.0
2018-10-04,3.0
2018-10-09,4.0
2018-11-08,3.5
2018-11-20,2.5
2018-12-07,3.5
2018-12-10,1.5
2018-12-19,1.5
2018-12-22,4.5
2019-01-06,3.0
2019-01-08,2.5
2019-01-09,4.0
2019-01-10,2.0
2019-01-14,1.0
2019-01-16,2.0
2019-02-02,6.0
2019-02-11,1.5
2019-02-13,1.5
2019-02-18,1.0
2019-02-25,1.5
2019-03-14,4.0
2019-04-02,3.0
2019-04-16,2.0
2019-05-15,1.5
2019-05-22,3.0
2019-06-03,2.5
2019-06-10,1.5
2019-06-12,1.0
2019-06-24,3.5
2019-07-04,3.0
2019-07-08,4.5
2019-07-09,2.0
2019-07-16,1.5
2019-08-02,4.5
2019-08-07,3.0
2019-08-26,3.0
2019-09-04,1.0
2019-09-12,2.0
2019-09-16,2.5
2019-09-17,2.0
2019-09-24,2.0
2019-10-16,2.5
2019-11-06,1.0
2019-12-16,1.5
2020-01-02,1.5
2020-01-07,2.0
2020-02-02,7.0
2020-02-06,1.0
2020-02-12,2.0
2020-03-01,2.5
2020-03-03,1.5
2020-03-12,2.5
2020-03-21,3.5
2020-03-23,2.0
2020-03-26,1.5
2020-04-01,1.5
2020-06-30,1.5
2020-07-08,1.5
2020-07-27,1.0
2020-07-29,4.5
2020-08-11,2.0
2020-08-12,1.5
2020-08-27,3.0
2020-08-29,12.0
2020-09-02,1.5
2020-09-07,1.0
2020-09-08,2.0
2020-09-14,2.5
2020-09-18,4.5
2020-09-20,2.0
2020-09-23,2.5
2020-10-07,2.0
2020-10-09,4.5
2020-10-12,1.5
2020-10-15,2.5
2020-10-28,3.5
2020-11-02,2.0
2020-11-03,1.5
2020-11-05,1.5
2020-11-09,1.0
2020-11-15,5.5
2020-11-16,1.5
2018-11-07,0.5
2019-03-25,0.5
2019-04-09,0.5
2019-04-17,0.5
2019-06-19,1.0
2019-07-18,0.5
2019-08-05,1.5
2019-08-21,0.5
2019-10-21,0.5
2019-10-31,0.5
2019-12-04,0.5
2020-01-03,3.0
2020-01-06,1.0
2020-02-10,0.5
2020-02-11,1.0
2020-02-24,0.5
2020-02-25,0.5
2020-03-19,1.5
2020-03-24,1.0
2020-07-15,0.5
2020-07-23,0.5
2020-08-19,0.5
2020-08-24,0.5
2020-08-31,0.5
2020-10-06,1.0
2020-10-13,1.0
2020-10-19,0.5
2020-10-27,0.5
2020-12-09,1.0
2020-12-16,2.0
2018-04-09,0.0
2019-03-18,0.0
2019-10-07,0.0
2019-11-07,0.0
2020-02-05,0.0
2020-02-13,0.0
2020-04-03,0.0
2020-10-05,0.0
2018-07-30,0.0
2020-11-29,0.0
2018-12-03,0.0
2020-03-09,0.0
2020-06-23,0.0
2018-01-03,0.0
2020-02-18,0.0
2020-03-04,0.0
2020-03-10,0.0
2020-03-31,0.0
2018-08-27,0.0
2020-03-25,0.0
2020-07-07,0.0
2020-03-16,0.0
2018-07-17,0.0
2020-02-20,0.0
2020-10-20,0.0
2018-01-15,0.0
2020-02-26,0.0
2020-10-26,0.0
2020-02-19,0.0
