ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2021-03-10,5.379687657188363,3.603846401354511,7.083007506109005,5.304949920430509,5.456117596940442,-0.0041839072738852415,-0.0041839072738852415,-0.0041839072738852415,-0.0041839072738852415,-0.0041839072738852415,-0.0041839072738852415,0.0,0.0,0.0,5.357179542868222
2021-03-11,5.379648904999699,3.5377302393055836,7.157234552969846,5.304732817725222,5.456447711235392,-0.01580723820065016,-0.01580723820065016,-0.01580723820065016,-0.01580723820065016,-0.01580723820065016,-0.01580723820065016,0.0,0.0,0.0,5.294611513322502
2021-03-12,5.3796101528110345,3.9645451414061044,7.766494897636106,5.304491983698954,5.45685256473635,0.07983793177819029,0.07983793177819029,0.07983793177819029,0.07983793177819029,0.07983793177819029,0.07983793177819029,0.0,0.0,0.0,5.809107101184422
2021-03-13,5.379571400622369,3.7268318362792017,7.586739898464478,5.304217017847305,5.457021747504057,0.04234051277500857,0.04234051277500857,0.04234051277500857,0.04234051277500857,0.04234051277500857,0.04234051277500857,0.0,0.0,0.0,5.607345212234491
2021-03-14,5.379532648433704,3.476771080677649,6.915807532757467,5.303942144618703,5.4571746371505325,-0.03991283020215609,-0.03991283020215609,-0.03991283020215609,-0.03991283020215609,-0.03991283020215609,-0.03991283020215609,0.0,0.0,0.0,5.164820275269815
2021-03-15,5.37949389624504,3.764583866801007,7.4358503769120015,5.3036672713901005,5.457328710571123,0.042242973459128245,0.042242973459128245,0.042242973459128245,0.042242973459128245,0.042242973459128245,0.042242973459128245,0.0,0.0,0.0,5.606739714127662
2021-03-16,5.379455144056376,3.0009880165333906,6.719137653046954,5.303389699615282,5.457485252613745,-0.10451744233455412,-0.10451744233455412,-0.10451744233455412,-0.10451744233455412,-0.10451744233455412,-0.10451744233455412,0.0,0.0,0.0,4.817208251246143
2021-03-17,5.379416391867711,3.6174768755636117,7.204841628382984,5.303158307907939,5.457649656460468,-0.004183907274058006,-0.004183907274058006,-0.004183907274058006,-0.004183907274058006,-0.004183907274058006,-0.004183907274058006,0.0,0.0,0.0,5.356909412495589
2021-03-18,5.379377639679046,3.485770999807237,7.084730031479867,5.302930735368383,5.457873537062812,-0.015807238200840783,-0.015807238200840783,-0.015807238200840783,-0.015807238200840783,-0.015807238200840783,-0.015807238200840783,0.0,0.0,0.0,5.294344535956363
2021-03-19,5.379338887490381,4.044106975763764,7.550787802438808,5.302724612135334,5.458101592529814,0.0798379317780954,0.0798379317780954,0.0798379317780954,0.0798379317780954,0.0798379317780954,0.0798379317780954,0.0,0.0,0.0,5.808814178601095
