ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2020-11-05,4.683801029749922,0.6428748315940594,7.075536451163695,4.683801029749922,4.683801029749922,-0.16300958556810505,-0.16300958556810505,-0.16300958556810505,-0.10569023558464559,-0.10569023558464559,-0.10569023558464559,-0.05731934998345947,-0.05731934998345947,-0.05731934998345947,0.0,0.0,0.0,3.920296565006924
2020-11-06,4.6809891057923245,2.395847444515998,8.655724687072103,4.6809891057923245,4.6809891057923245,0.1638873202875913,0.1638873202875913,0.1638873202875913,0.2357821882395009,0.2357821882395009,0.2357821882395009,-0.07189486795190961,-0.07189486795190961,-0.07189486795190961,0.0,0.0,0.0,5.448143866636037
2020-11-07,4.678177181834727,2.3937479330467037,8.675212165947652,4.678177181834727,4.678177181834727,0.19868122694704443,0.19868122694704443,0.19868122694704443,0.28288790180665474,0.28288790180665474,0.28288790180665474,-0.0842066748596103,-0.0842066748596103,-0.0842066748596103,0.0,0.0,0.0,5.607643164197317
2020-11-08,4.67536525787713,0.6917869280288536,7.102841031652893,4.67536525787713,4.67536525787713,-0.14797961393214915,-0.14797961393214915,-0.14797961393214915,-0.05394398222631075,-0.05394398222631075,-0.05394398222631075,-0.09403563170583842,-0.09403563170583842,-0.09403563170583842,0.0,0.0,0.0,3.9835065120246886
2020-11-13,4.661305638089142,2.156767271170002,8.386529211408412,4.661305638089142,4.661305638089142,0.1338539548883026,0.1338539548883026,0.1338539548883026,0.23578218823850136,0.23578218823850136,0.23578218823850136,-0.10192823335019877,-0.10192823335019877,-0.10192823335019877,0.0,0.0,0.0,5.285239832690517
2020-11-15,4.655681790173947,0.7371345996983234,7.200664494957392,4.655681790173947,4.655681790173947,-0.13985909586769155,-0.13985909586769155,-0.13985909586769155,-0.053943982226510145,-0.053943982226510145,-0.053943982226510145,-0.0859151136411814,-0.0859151136411814,-0.0859151136411814,0.0,0.0,0.0,4.004542344352544
2020-11-20,4.6416221703859595,2.555626569697583,8.790827187882456,4.6416221703859595,4.6416221703859595,0.2272848133198656,0.2272848133198656,0.2272848133198656,0.23578218823872188,0.23578218823872188,0.23578218823872188,-0.00849737491885627,-0.00849737491885627,-0.00849737491885627,0.0,0.0,0.0,5.696592398883483
2020-11-22,4.635998322470764,1.3753684506022157,7.864276330618753,4.635998322470764,4.635998322470764,-0.021814716156901164,-0.021814716156901164,-0.021814716156901164,-0.05394398222676477,-0.05394398222676477,-0.05394398222676477,0.032129266069863605,0.032129266069863605,0.032129266069863605,0.0,0.0,0.0,4.534865334962194
2020-11-23,4.633186398513166,1.1856594882191933,6.9026814862646555,4.633186398513166,4.633186398513166,-0.12514405464802975,-0.12514405464802975,-0.12514405464802975,-0.1785609422732375,-0.1785609422732375,-0.1785609422732375,0.05341688762520774,0.05341688762520774,0.05341688762520774,0.0,0.0,0.0,4.053370666663126
2020-11-24,4.630374474555569,1.4487572331067544,7.891218810681599,4.630374474555569,4.630374474555569,0.0093573275508388,0.0093573275508388,0.0093573275508388,-0.06565103875975793,-0.06565103875975793,-0.06565103875975793,0.07500836631059674,0.07500836631059674,0.07500836631059674,0.0,0.0,0.0,4.673702405197028
